V3,Q1,Q2,Q3,Q4,Q6,Q7,Q8,Q9,,,,,,
Name,Bitcoins are more similar to gold than they are to currency.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,URL(s) associated with your answer. Please separate multiple URLs with a comma.,Bitcoins are more similar to gold than they are to Dutch tulips in the 1630s.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,URL(s) associated with your answer. Please separate multiple URLs with a comma.,,,,,,
"Aghion, Philippe",Did Not Answer,,,,Did Not Answer,,,,,,,,,
"Allen, Franklin",Agree,6,At the moment Bitcoin is more of an investment than a medium of exchange and so is closer to gold. The reason is the price volatility.,,Agree,6,"I think Bitcoin is not necessarily a bubble since it does have uses, eg, transferring value from Venezuela to the US.",,,,,,,
"Antras, Pol",Did Not Answer,,,,Did Not Answer,,,,,,,,,
"Bénassy-Quéré, Agnès",Agree,9,Except that you cannot make nice necklaces with bitcoins.,,Disagree,2,,,,,,,,
"Besley, Timothy J.",Did Not Answer,,,,Did Not Answer,,,,,,,,,
"Blanchard, Olivier",Strongly Agree,9,,,Uncertain,9,"Like bitcoin, the two assets have some intrinsic value.  Much of their price however reflects a bubble.  A draw",,,,,,,
"Bloom, Nicholas",No Opinion,,,,Disagree,1,This feels like a classic bubble - my guess is 10 years from now they will be valueless.,,,,,,,
"Blundell, Richard William",Did Not Answer,,,,Did Not Answer,,,,,,,,,
"Carletti, Elena",Did Not Answer,,,,Did Not Answer,,,,,,,,,
"Danthine, Jean-Pierre",Agree,1,,,Disagree,3,Both gold and tulips are bubbles. Gold has a larger intrinsic value plus a long history as a safe haven asset.,,,,,,,
"De Grauwe, Paul",Did Not Answer,,,,Did Not Answer,,,,,,,,,
"Eeckhout, Jan",Agree,7,,,Disagree,5,,,,,,,,
"Fehr, Ernst",Did Not Answer,,,,Did Not Answer,,,,,,,,,
"Freixas, Xavier",Agree,5,Bitcoins are a bubble. Gold embodies a bubble but has a fundamental industrial value. Currencies are a bubbles  backed by the government.,,Strongly Disagree,10,Currencies are backed by tax collection.,,,,,,,
"Fuchs-Schündeln, Nicola",Did Not Answer,,,,Did Not Answer,,,,,,,,,
"Galí, Jordi",Disagree,7,"Bitcoins, like currency, are used as a means of payment. Gold is not. Gold has a fundamental value.",,Disagree,7,"Like the price of Dutch tulips in the 1630s, bitcoins' price seems to have a large bubble component. Gold's is likely smaller.",,,,,,,
"Garicano, Luis",Did Not Answer,,,,Did Not Answer,,,,,,,,,
"Giavazzi, Francesco",Uncertain,5,,,Agree,4,,,,,,,,
"Griffith, Rachel",No Opinion,,,,No Opinion,,,,,,,,,
"Guerrieri, Veronica",Did Not Answer,,,,Did Not Answer,,,,,,,,,
"Guiso, Luigi",Disagree,5,,,Disagree,5,,,,,,,,
"Honohan, Patrick",Disagree,8,"Gold has intrinsic value. Bitcoin value, like currency, depends mainly on social or political conventions.",,Agree,8,Bitcoin has a payments function unlike those tulip bulbs,,,,,,,
"Kleven, Henrik",Did Not Answer,,,,Did Not Answer,,,,,,,,,
"Kőszegi, Botond",No Opinion,,,,No Opinion,,,,,,,,,
"Krahnen, Jan Pieter",Strongly Disagree,6,"A bitcoin is a private bet on becoming a (public) legal tender, and on earning the seignorage. ",,Disagree,5,"Again, tulips had developed into a mutually accepted expression of value, and bulbs were seen as the key (algorithm) to replication/mining. ",,,,,,,
